classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
1126661.0,112666_227,3.0,112666.0,1126661253.0,yes,yes,13.0,no,no,1126661273.0,1126661271.0,1126661249.0,1126661273.0,1126661271.0,1126661249.0
1126662.0,112666_371,8.0,112666.0,1126662205.0,yes,yes,20.0,yes,yes,1126662227.0,1126662240.0,1126662234.0,1126662240.0,1126662216.0,1126662236.0
1126663.0,112666_188,4.0,112666.0,1126663230.0,no,no,13.0,no,no,1126663240.0,1126663236.0,1126663263.0,1126663240.0,1126663236.0,1126663246.0
1126664.0,112666_420,2.0,112666.0,1126664262.0,no,no,13.0,no,no,1126664226.0,1126664215.0,1126664235.0,1126664224.0,1126664259.0,1126664225.0
1126671.0,112667_189,3.0,112667.0,1126671280.0,no,yes,13.0,no,no,1126671233.0,,,1126671233.0,1126671255.0,1126671277.0
1126701.0,112670_150,7.0,112670.0,1126701226.0,no,yes,18.0,yes,yes,1126701244.0,1126701237.0,1126701239.0,1126701244.0,1126701237.0,1126701239.0
1126711.0,112671_461,3.0,112671.0,1126711278.0,yes,yes,16.0,no,no,1126711302.0,1126711286.0,1126711292.0,1126711258.0,1126711269.0,1126711221.0
1126712.0,112671_252,6.0,112671.0,1126712280.0,yes,yes,17.0,yes,yes,1126712235.0,1126712267.0,1126712295.0,1126712295.0,1126712235.0,1126712279.0
1126713.0,112671_105,4.0,112671.0,1126713299.0,no,no,11.0,no,no,1126713254.0,1126713305.0,1126713235.0,1126713254.0,1126713305.0,1126713235.0
1126714.0,112671_439,6.0,112671.0,1126714237.0,no,no,22.0,yes,yes,1126714284.0,1126714272.0,1126714221.0,1126714272.0,1126714284.0,1126714274.0
1126721.0,112672_103,4.0,112672.0,1126721208.0,yes,yes,21.0,yes,no,1126721207.0,1126721220.0,1126721240.0,1126721220.0,1126721240.0,1126721254.0
1126722.0,112672_167,,112672.0,1126722205.0,no,no,,no,no,1126722204.0,1126722220.0,1126722231.0,1126722201.0,1126722204.0,1126722220.0
1126751.0,112675_296,,112675.0,1126751287.0,no,no,,no,no,1126751226.0,1126751234.0,1126751309.0,1126751309.0,1126751234.0,
1126752.0,112675_168,4.0,112675.0,1126752242.0,no,no,14.0,no,no,1126752244.0,1126752213.0,1126752239.0,1126752239.0,1126752213.0,1126752244.0
1126753.0,112675_167,4.0,112675.0,1126753259.0,no,no,17.0,yes,no,1126753254.0,1126753202.0,,1126753202.0,1126753254.0,
1126761.0,112676_136,,,1126761.0,no,no,,no,no,,,,,,
1126771.0,112677_122,1.0,112677.0,1126771234.0,yes,no,8.0,no,no,1126771238.0,1126771226.0,1126771205.0,1126771213.0,1126771220.0,1126771230.0
1126801.0,112680_130,7.0,112680.0,1126801215.0,yes,yes,15.0,no,yes,1126801223.0,1126801230.0,1126801225.0,1126801223.0,1126801225.0,1126801230.0
1126811.0,112681_136,5.0,,1126811.0,yes,no,23.0,yes,no,,,,,,
1126821.0,112682_163,,112682.0,1126821310.0,no,no,,no,no,1126821262.0,1126821302.0,1126821292.0,1126821202.0,1126821279.0,1126821230.0
1126841.0,112684_142,4.0,112684.0,1126841221.0,no,no,14.0,no,no,1126841220.0,1126841249.0,1126841211.0,1126841249.0,1126841220.0,1126841211.0
1126852.0,112685_146,,112685.0,1126852274.0,no,no,,no,no,1126852266.0,1126852272.0,1126852216.0,1126852266.0,1126852272.0,1126852246.0
1126951.0,112695_208,9.0,112695.0,1126951210.0,yes,yes,20.0,yes,yes,1126951250.0,1126951264.0,1126951244.0,1126951250.0,1126951264.0,1126951243.0
1127221.0,112722_207,4.0,112722.0,1127221231.0,no,no,11.0,no,no,1127221248.0,1127221250.0,1127221251.0,1127221248.0,1127221250.0,1127221251.0
1127231.0,112723_256,8.0,112723.0,1127231255.0,yes,yes,23.0,yes,yes,1127231262.0,1127231254.0,1127231268.0,1127231254.0,1127231268.0,1127231262.0
