fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125401,112540,1,1125401204,1125401225,1125401218,1125401213,1125401201,1125401202,1125401207
1125401,112540,1,1125401254,1125401234,1125401243,1125401256,1125401234,1125401243,1125401235
1125401,112540,1,1125401265,1125401262,1125401261,1125401255,1125401262,1125401255,
1125401,112540,1,1125401242,1125401232,1125401237,1125401249,1125401248,1125401251,1125401232
1125401,112540,1,1125401201,1125401207,1125401202,1125401223,1125401202,1125401207,1125401223
1125401,112540,1,1125401234,1125401243,1125401254,1125401252,1125401243,1125401232,1125401235
1125401,112540,1,1125401253,1125401242,1125401248,1125401246,1125401232,1125401242,1125401248
1125401,112540,1,1125401232,1125401239,1125401244,1125401238,1125401233,1125401235,1125401236
1125401,112540,1,1125401240,1125401247,1125401244,1125401242,1125401244,1125401242,1125401247
1125401,112540,1,1125401256,1125401237,1125401257,,1125401237,1125401257,
1125401,112540,1,1125401244,1125401235,1125401232,1125401240,1125401232,1125401239,1125401238
1125401,112540,1,1125401202,1125401205,1125401221,1125401203,1125401221,,
1125401,112540,1,1125401249,1125401242,1125401248,1125401251,1125401242,1125401232,1125401248
1125401,112540,1,1125401235,1125401236,1125401238,1125401239,1125401236,1125401245,1125401238
1125401,112540,1,1125401209,1125401206,1125401208,1125401218,1125401208,1125401206,1125401218
1125401,112540,1,1125401246,1125401232,1125401233,1125401242,1125401232,1125401233,1125401241
1125401,112540,1,1125401247,1125401240,,,1125401232,,
1125401,112540,1,1125401210,1125401222,1125401201,,1125401222,1125401201,
1125401,112540,1,1125401212,1125401230,1125401221,1125401208,1125401220,1125401241,1125401242
1125402,112540,1,1125402257,1125402264,1125402266,1125402231,1125402263,1125402264,1125402266
1125402,112540,1,1125402249,1125402244,1125402240,1125402247,1125402244,1125402240,1125402247
1125402,112540,1,1125402211,1125402202,1125402205,1125402206,1125402201,1125402203,1125402204
1125402,112540,1,1125402236,1125402235,1125402254,1125402245,1125402231,1125402232,1125402235
1125402,112540,1,1125402212,1125402206,1125402207,1125402201,1125402206,1125402207,1125402213
1125402,112540,1,1125402232,1125402231,1125402237,1125402261,1125402231,1125402261,1125402256
1125402,112540,1,1125402209,1125402210,1125402223,1125402217,1125402210,1125402217,1125402223
1125402,112540,1,1125402241,1125402239,1125402243,1125402231,1125402239,1125402243,1125402231
1125402,112540,1,1125402244,1125402249,1125402247,1125402240,1125402249,1125402247,1125402240
1125402,112540,1,1125402266,1125402247,1125402231,1125402233,1125402267,1125402265,1125402257
1125402,112540,1,1125402258,1125402261,1125402260,1125402251,1125402237,1125402260,1125402261
1125402,112540,1,1125402206,1125402201,1125402207,1125402212,1125402201,1125402207,1125402212
1125402,112540,1,1125402234,1125402233,1125402232,1125402231,1125402233,1125402232,1125402231
1125402,112540,1,1125402246,1125402258,1125402233,1125402238,1125402233,1125402232,
1125402,112540,1,1125402252,1125402231,1125402245,1125402232,1125402231,1125402232,1125402245
1125402,112540,1,1125402201,1125402204,1125402205,1125402213,1125402206,1125402202,1125402211
1125402,112540,1,1125402235,1125402231,1125402232,1125402236,1125402236,1125402245,1125402254
1125402,112540,1,1125402251,1125402256,1125402265,1125402231,1125402232,1125402256,1125402265
1125402,112540,1,1125402243,1125402239,1125402241,,1125402239,1125402241,
1125402,112540,1,1125402259,1125402246,1125402238,1125402245,1125402231,1125402265,1125402246
1125402,112540,1,1125402203,1125402205,1125402204,1125402213,1125402205,1125402204,1125402213
1125402,112540,1,1125402214,1125402208,1125402209,1125402203,1125402206,1125402209,1125402208
1125403,112540,1,1125403240,1125403243,1125403241,1125403248,1125403205,1125403243,1125403241
1125403,112540,1,1125403214,1125403201,1125403210,1125403220,1125403201,1125403204,1125403202
1125403,112540,1,1125403207,1125403209,1125403211,1125403221,1125403209,1125403211,1125403221
1125403,112540,1,1125403237,1125403239,1125403244,1125403242,1125403236,1125403242,1125403248
1125403,112540,1,1125403203,1125403204,1125403211,1125403226,1125403209,1125403201,1125403204
1125403,112540,1,1125403259,1125403244,1125403245,1125403252,1125403252,1125403245,1125403244
1125403,112540,1,1125403239,1125403237,1125403245,1125403242,1125403236,1125403237,1125403235
1125403,112540,1,1125403242,1125403235,1125403236,1125403255,1125403236,1125403237,1125403246
1125403,112540,1,1125403243,1125403240,1125403241,1125403248,1125403240,1125403241,1125403242
1125403,112540,1,1125403233,1125403230,1125403234,1125403223,1125403212,1125403230,1125403220
1125403,112540,1,1125403244,1125403237,1125403239,1125403242,1125403236,1125403237,1125403241
1125403,112540,1,1125403217,1125403226,1125403220,1125403231,1125403216,1125403227,1125403215
1125403,112540,1,1125403235,1125403247,1125403202,1125403248,1125403201,1125403241,1125403205
1125403,112540,1,1125403221,1125403255,1125403266,1125403271,1125403244,1125403240,1125403237
1125403,112540,1,1125403213,1125403221,1125403207,1125403211,1125403214,1125403220,1125403208
1125403,112540,1,1125403205,1125403211,1125403227,1125403221,1125403211,1125403201,1125403202
1125403,112540,1,1125403204,1125403203,1125403201,1125403211,1125403203,1125403201,1125403211
1125403,112540,1,1125403208,1125403220,1125403227,1125403201,1125403206,1125403203,1125403201
1125431,112543,1,1125431234,1125431208,1125431229,1125431254,1125431229,1125431259,1125431263
1125431,112543,1,1125431225,1125431214,1125431244,1125431268,1125431214,1125431202,1125431244
1125431,112543,1,1125431255,1125431231,1125431265,1125431253,1125431253,1125431239,
1125431,112543,1,1125431232,1125431209,1125431210,1125431236,1125431259,1125431209,1125431263
1125431,112543,1,1125431208,1125431229,1125431221,,1125431229,1125431234,1125431258
1125431,112543,1,1125431228,1125431203,1125431247,1125431230,1125431203,1125431230,1125431247
1125431,112543,1,1125431207,1125431264,1125431242,1125431240,1125431222,1125431242,1125431264
1125431,112543,1,1125431259,1125431263,,,1125431263,,
1125431,112543,1,1125431263,1125431259,,,1125431259,,
1125431,112543,1,1125431256,1125431248,1125431205,,1125431248,1125431205,
1125431,112543,1,1125431244,1125431201,1125431214,1125431225,1125431202,1125431225,1125431268
1125441,112544,1,1125441247,1125441263,1125441236,1125441202,1125441263,1125441265,
1125441,112544,1,1125441229,1125441230,1125441228,1125441244,1125441230,1125441225,1125441258
1125441,112544,1,1125441242,1125441234,1125441254,,1125441234,1125441254,1125441263
1125441,112544,1,1125441263,1125441257,1125441265,1125441241,1125441257,1125441265,1125441241
1125441,112544,1,1125441209,1125441268,1125441261,1125441212,1125441229,1125441244,1125441239
1125441,112544,1,1125441257,1125441263,1125441265,1125441241,1125441263,,
1125451,112545,1,1125451247,1125451248,1125451243,1125451235,1125451248,1125451235,1125451234
1125451,112545,1,1125451261,1125451285,1125451269,1125451282,1125451269,1125451285,1125451286
1125451,112545,1,1125451248,1125451218,1125451211,1125451201,1125451202,1125451209,1125451265
1125451,112545,1,1125451248,1125451247,1125451243,1125451271,1125451243,1125451247,1125451271
1125451,112545,1,1125451271,1125451237,1125451236,1125451248,1125451237,1125451239,1125451236
1125451,112545,1,1125451274,1125451275,1125451223,1125451261,1125451275,1125451273,1125451261
1125451,112545,1,1125451215,1125451205,1125451220,1125451203,1125451256,1125451222,1125451213
1125451,112545,1,1125451202,1125451240,1125451231,1125451201,1125451240,1125451231,1125451201
1125451,112545,1,1125451239,1125451272,1125451237,1125451236,1125451237,1125451272,1125451236
1125451,112545,1,1125451225,1125451219,1125451240,1125451286,1125451240,1125451286,1125451219
1125451,112545,1,1125451253,1125451251,1125451214,,1125451214,1125451251,1125451248
1125451,112545,1,1125451249,,,,1125451275,1125451265,1125451228
1125451,112545,1,1125451217,1125451224,1125451272,1125451270,1125451272,1125451224,1125451270
1125451,112545,1,1125451251,1125451253,1125451234,,1125451253,1125451234,
1125452,112545,1,1125452218,,,,1125452230,1125452231,
1125452,112545,1,1125452246,1125452267,1125452208,,1125452267,1125452258,
1125452,112545,1,1125452252,1125452210,1125452253,1125452235,1125452247,1125452210,1125452235
1125452,112545,1,1125452273,1125452259,1125452244,1125452245,1125452244,1125452245,1125452242
1125452,112545,1,1125452258,1125452232,1125452246,,1125452232,1125452246,1125452266
1125452,112545,1,1125452260,1125452220,1125452240,1125452244,1125452240,1125452220,1125452244
1125452,112545,1,1125452244,1125452220,1125452268,1125452240,1125452220,1125452240,1125452268
1125452,112545,1,1125452230,1125452278,1125452269,1125452226,1125452278,1125452269,1125452226
1125452,112545,1,1125452240,1125452220,1125452260,1125452244,1125452220,1125452244,1125452260
1125452,112545,1,1125452257,1125452217,1125452245,1125452269,1125452217,1125452245,1125452269
1125452,112545,1,1125452242,1125452259,,,1125452259,1125452258,1125452263
1125452,112545,1,1125452222,1125452236,1125452256,1125452214,1125452236,1125452214,1125452212
1125452,112545,1,1125452220,1125452240,1125452244,1125452260,1125452240,1125452244,1125452260
1125481,112548,1,1125481224,1125481213,1125481225,1125481201,1125481235,1125481201,1125481213
