fs_classroom,isolate_in_a,isolate_in_e,reciprocity_share_a,reciprocity_share_e
1125381,0.5,0.375,0.5333333333333333,0.42857142857142855
1125382,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.7142857142857143
1125391,0.2727272727272727,0.36363636363636365,0.5454545454545454,0.7142857142857143
1125401,0.45454545454545453,0.18181818181818182,0.3333333333333333,0.5263157894736842
1125402,0.2916666666666667,0.25,0.6428571428571429,0.3333333333333333
1125403,0.34782608695652173,0.34782608695652173,0.29411764705882354,0.37037037037037035
1125431,0.35714285714285715,0.35714285714285715,0.5333333333333333,0.7692307692307693
1125432,0.0,0.0,1.0,1.0
1125441,0.5,0.6666666666666666,0.4,0.6666666666666666
1125451,0.42857142857142855,0.5714285714285714,0.4444444444444444,0.8571428571428571
1125452,0.35714285714285715,0.5,0.7,0.8
1125481,0.5,0.3333333333333333,0.3333333333333333,0.5
1125491,0.4166666666666667,0.5,0.14285714285714285,0.13333333333333333
1125492,0.5,0.5,0.10526315789473684,0.25
1125511,0.5714285714285714,0.5714285714285714,0.0,0.6666666666666666
1125551,0.4,0.6,0.0,0.6666666666666666
1125571,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.6666666666666666
1125581,0.4,0.6,0.0,1.0
1125601,0.4,0.4,1.0,1.0
1125611,0.4,0.3,0.2222222222222222,0.5333333333333333
1125821,0.4642857142857143,0.39285714285714285,0.42105263157894735,0.6060606060606061
1125841,0.3448275862068966,0.20689655172413793,0.45454545454545453,0.6666666666666666
1125851,0.4,0.24,0.40816326530612246,0.5238095238095238
1125881,0.25,0.25,0.7272727272727273,0.5454545454545454
1125882,1.0,1.0,0.0,0.0
1125891,0.5,0.5,0.2857142857142857,0.3333333333333333
1125892,1.0,1.0,0.0,0.0
1125911,0.4,0.2,0.3333333333333333,0.25
1125941,0.3,0.3,0.8421052631578947,0.875
1125951,0.3181818181818182,0.22727272727272727,0.75,0.72
1125952,0.5333333333333333,0.5333333333333333,0.4,0.36363636363636365
1125971,0.25,0.0,0.6153846153846154,1.0
1125991,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.6666666666666666
1126041,1.0,0.6666666666666666,0.0,0.0
1126061,0.36363636363636365,0.36363636363636365,0.8,1.0
1126071,0.6,0.7,0.0,0.4
1126081,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.5454545454545454
1126091,1.0,1.0,0.0,0.0
1126101,1.0,1.0,0.0,0.0
1126111,0.3125,0.3125,0.37037037037037035,0.7
1126141,0.6153846153846154,0.3076923076923077,0.24,0.7619047619047619
1126161,0.125,0.125,0.7272727272727273,0.4
1126201,0.5,0.5,0.75,0.8571428571428571
1126203,1.0,1.0,0.0,0.0
1126211,0.8,0.4,0.0,0.0
1126221,0.5,0.6666666666666666,0.5,1.0
