classroom_id,isolate_in_f,isolate_in_s,reciprocity_share_f,reciprocity_share_s
1125381,0.3181818181818182,0.45454545454545453,0.29411764705882354,0.34285714285714286
1125391,0.2857142857142857,0.21428571428571427,0.38461538461538464,0.5217391304347826
1125401,0.43243243243243246,0.43243243243243246,0.42424242424242425,0.4
1125402,0.4375,0.53125,0.5333333333333333,0.6666666666666666
1125403,0.41935483870967744,0.5161290322580645,0.47619047619047616,0.6666666666666666
1125431,0.5,0.625,0.3333333333333333,0.23529411764705882
1125441,0.4,0.5,0.5714285714285714,0.5714285714285714
1125451,0.4,0.55,0.42105263157894735,0.2222222222222222
1125452,0.7368421052631579,0.7368421052631579,0.36363636363636365,0.5
1125482,0.25,0.375,0.2857142857142857,0.5
1125491,0.5333333333333333,0.4,0.5,0.43902439024390244
1125511,0.6666666666666666,0.8888888888888888,0.0,0.0
1125551,0.6,0.8,1.0,0.0
1125571,0.5,0.6428571428571429,0.5,0.5
1125581,0.3333333333333333,0.8333333333333334,0.4,0.0
1125601,0.5,0.75,1.0,0.0
1125611,0.35714285714285715,0.21428571428571427,0.2727272727272727,0.46153846153846156
1125821,0.42857142857142855,0.4642857142857143,0.48484848484848486,0.46153846153846156
1125841,0.2857142857142857,0.2571428571428571,0.45614035087719296,0.5185185185185185
1125851,0.2631578947368421,0.15789473684210525,0.45161290322580644,0.3076923076923077
1125881,0.5,0.42857142857142855,0.4,0.15384615384615385
1125891,0.5833333333333334,0.5833333333333334,0.0,0.36363636363636365
1125911,0.8333333333333334,0.8333333333333334,0.0,0.0
1125941,0.2727272727272727,0.22727272727272727,0.5853658536585366,0.38095238095238093
1125951,0.5862068965517241,0.5172413793103449,0.47058823529411764,0.42105263157894735
1125952,0.8888888888888888,0.7777777777777778,0.0,0.5
1125971,0.3,0.4,0.5454545454545454,0.0
1125991,0.375,0.5,0.5714285714285714,0.4444444444444444
1126041,0.8,0.6,0.0,0.0
1126061,0.4,0.4666666666666667,0.5,0.35294117647058826
1126071,0.6666666666666666,0.6666666666666666,0.8,0.3333333333333333
1126081,0.5,0.35714285714285715,0.6,0.5454545454545454
1126091,1.0,1.0,0.0,0.0
1126101,0.875,0.5,0.0,0.0
1126111,0.3333333333333333,0.3888888888888889,0.6,0.15384615384615385
1126141,0.25,0.3125,0.4,0.3
1126161,0.375,0.375,0.6666666666666666,0.2
1126201,0.5384615384615384,0.6153846153846154,0.6666666666666666,0.75
1126211,0.25,0.5,0.2222222222222222,0.0
1126221,0.42857142857142855,0.7142857142857143,0.4,0.0
1126231,0.16666666666666666,0.125,0.4375,0.4375
1126241,0.6666666666666666,0.7777777777777778,0.0,0.0
1126611,0.2777777777777778,0.5,0.3333333333333333,0.17647058823529413
1126621,0.2727272727272727,0.36363636363636365,0.8333333333333334,0.7272727272727273
