fs_classroom,fs_student_id,s_merge_id,low_low_acad_math,low_low_emot_math,high_high_acad_math,high_high_emot_math,low_low_acad_math_b,low_low_emot_math_b,high_high_acad_math_b,high_high_emot_math_b,low_low_acad_math_perc,low_low_emot_math_perc,high_high_acad_math_perc,high_high_emot_math_perc
3181.0,3181221.0,135318_101,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3181.0,3181222.0,135318_104,0,0,0,3,0,0,0,1,,,0.0,1.0
3181.0,3181223.0,135318_138,3,3,0,0,1,1,0,0,1.0,1.0,,
3181.0,3181224.0,135318_106,0,0,2,2,0,0,1,1,,,1.0,0.6666666666666666
3181.0,3181225.0,135318_107,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3181.0,3181226.0,135318_112,0,0,2,3,0,0,1,1,,,1.0,1.0
3181.0,3181227.0,135318_124,0,0,3,2,0,0,1,1,,,1.0,1.0
3181.0,3181228.0,135318_122,2,3,0,0,1,1,0,0,0.6666666666666666,1.0,,
3181.0,3181229.0,135318_125,0,1,0,0,0,1,0,0,0.0,0.5,,
3181.0,3181231.0,135318_126,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
3181.0,3181234.0,135318_131,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
3181.0,3181236.0,135318_105,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3181.0,3181238.0,135318_109,0,0,3,2,0,0,1,1,,,1.0,1.0
3181.0,3181239.0,135318_119,1,2,0,0,1,1,0,0,1.0,1.0,,
3181.0,3181242.0,135318_121,2,1,0,0,1,1,0,0,1.0,0.5,,
3181.0,3181244.0,135318_128,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3181.0,3181245.0,135318_145,0,0,0,0,0,0,0,0,0.0,0.0,,
3181.0,3181246.0,135318_111,0,3,0,0,0,1,0,0,0.0,1.0,,
3181.0,3181248.0,135318_116,3,3,0,0,1,1,0,0,1.0,1.0,,
3181.0,3181250.0,135318_134,1,2,0,0,1,1,0,0,0.5,0.6666666666666666,,
3181.0,3181251.0,135318_139,0,0,2,0,0,0,1,0,,,0.6666666666666666,0.0
3181.0,3181252.0,135318_142,0,0,1,0,0,0,1,0,,,1.0,0.0
3991.0,3991201.0,134399_183,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991202.0,134399_172,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991203.0,134399_161,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3991.0,3991204.0,134399_146,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
3991.0,3991205.0,134399_135,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991206.0,134399_123,2,1,0,0,1,1,0,0,0.6666666666666666,0.3333333333333333,,
3991.0,3991209.0,134399_101,0,0,1,0,0,0,1,0,,,0.3333333333333333,0.0
3991.0,3991210.0,134399_181,2,1,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991211.0,134399_180,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991212.0,134399_179,0,0,1,2,0,0,1,1,,,0.3333333333333333,0.6666666666666666
3991.0,3991213.0,134399_178,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
3991.0,3991214.0,134399_177,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
3991.0,3991216.0,134399_175,3,3,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991217.0,134399_174,1,1,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991218.0,134399_173,0,0,0,1,0,0,0,1,,,0.0,0.3333333333333333
3991.0,3991219.0,134399_171,1,2,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666,,
3991.0,3991220.0,134399_170,1,2,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666,,
3991.0,3991221.0,134399_169,1,2,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991222.0,134399_168,2,1,0,0,1,1,0,0,0.6666666666666666,0.3333333333333333,,
3991.0,3991224.0,134399_166,0,0,1,0,0,0,1,0,,,0.3333333333333333,0.0
3991.0,3991225.0,134399_165,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
3991.0,3991226.0,134399_164,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3991.0,3991228.0,134399_188,3,2,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991229.0,134399_158,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.5
3991.0,3991230.0,134399_157,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
3991.0,3991231.0,134399_156,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3991.0,3991232.0,134399_141,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991233.0,134399_152,0,0,0,0,0,0,0,0,,,0.0,0.0
3991.0,3991234.0,134399_151,0,2,0,0,0,1,0,0,,1.0,,
3991.0,3991235.0,134399_133,0,0,0,0,0,0,0,0,0.0,0.0,,
3991.0,3991236.0,134399_148,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991239.0,134399_144,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
3991.0,3991240.0,134399_143,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991241.0,134399_142,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
3991.0,3991242.0,134399_140,3,3,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991243.0,134399_139,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991244.0,134399_138,0,1,0,0,0,1,0,0,,1.0,,
3991.0,3991245.0,134399_136,2,3,0,0,1,1,0,0,0.6666666666666666,1.0,,
3991.0,3991247.0,134399_150,3,2,0,0,1,1,0,0,1.0,0.6666666666666666,,
3991.0,3991248.0,134399_131,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991249.0,134399_130,0,0,1,2,0,0,1,1,,,1.0,0.6666666666666666
3991.0,3991250.0,134399_129,2,3,0,0,1,1,0,0,0.6666666666666666,1.0,,
3991.0,3991251.0,134399_128,2,3,0,0,1,1,0,0,0.6666666666666666,1.0,,
3991.0,3991252.0,134399_186,1,2,0,0,1,1,0,0,0.5,1.0,,
3991.0,3991253.0,134399_126,1,1,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991254.0,134399_125,0,0,1,1,0,0,1,1,,,0.3333333333333333,0.3333333333333333
3991.0,3991255.0,134399_124,0,0,0,0,0,0,0,0,,,0.0,0.0
3991.0,3991256.0,134399_122,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991259.0,134399_118,0,1,0,0,0,1,0,0,,0.5,,
3991.0,3991260.0,134399_117,0,2,0,0,0,1,0,0,,1.0,,
3991.0,3991261.0,134399_115,3,2,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991262.0,134399_114,3,3,0,0,1,1,0,0,1.0,1.0,,
3991.0,3991263.0,134399_113,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
3991.0,3991264.0,134399_106,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
3991.0,3991265.0,134399_103,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
3991.0,3991266.0,134399_104,2,1,0,0,1,1,0,0,0.6666666666666666,0.5,,
4591.0,4591202.0,131459_112,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
4591.0,4591203.0,131459_137,0,3,0,0,0,1,0,0,0.0,1.0,,
4591.0,4591204.0,131459_123,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
4591.0,4591207.0,131459_124,0,0,0,0,0,0,0,0,,,0.0,0.0
4591.0,4591210.0,131459_105,0,0,0,0,0,0,0,0,,,0.0,0.0
4591.0,4591211.0,131459_126,0,0,1,1,0,0,1,1,,,0.5,0.5
4591.0,4591212.0,131459_103,3,3,0,0,1,1,0,0,1.0,1.0,,
4591.0,4591213.0,131459_138,0,0,1,1,0,0,1,1,,,0.5,0.5
4591.0,4591214.0,131459_128,0,0,0,0,0,0,0,0,0.0,0.0,,
4591.0,4591215.0,131459_129,3,3,0,0,1,1,0,0,1.0,1.0,,
4591.0,4591218.0,131459_127,2,1,0,0,1,1,0,0,0.6666666666666666,0.3333333333333333,,
4591.0,4591219.0,131459_102,0,0,0,0,0,0,0,0,0.0,0.0,,
4591.0,4591220.0,131459_136,1,1,0,0,1,1,0,0,0.5,0.5,,
4591.0,4591222.0,131459_125,2,2,0,0,1,1,0,0,0.6666666666666666,1.0,,
4591.0,4591224.0,131459_135,1,3,0,0,1,1,0,0,0.3333333333333333,1.0,,
4591.0,4591226.0,131459_101,0,0,1,0,0,0,1,0,,,0.5,
4591.0,4591229.0,131459_133,2,1,0,0,1,1,0,0,0.6666666666666666,0.3333333333333333,,
4591.0,4591230.0,131459_110,3,1,0,0,1,1,0,0,1.0,1.0,,
4591.0,4591232.0,131459_117,3,2,0,0,1,1,0,0,1.0,1.0,,
5381.0,5381201.0,112538_144,0,0,2,2,0,0,1,1,,,0.6666666666666666,1.0
5381.0,5381202.0,112538_122,0,0,2,3,0,0,1,1,,,0.6666666666666666,1.0
5381.0,5381203.0,112538_105,1,2,0,0,1,1,0,0,0.5,1.0,,
5381.0,5381204.0,112538_103,0,0,3,2,0,0,1,1,,,1.0,1.0
5381.0,5381205.0,112538_101,1,2,0,0,1,1,0,0,0.5,0.6666666666666666,,
5381.0,5381211.0,112538_131,0,0,0,0,0,0,0,0,,,0.0,0.0
5381.0,5381213.0,112538_127,0,0,2,3,0,0,1,1,,,1.0,1.0
5381.0,5381215.0,112538_123,2,1,0,0,1,1,0,0,1.0,1.0,,
5381.0,5381217.0,112538_118,0,0,0,1,0,0,0,1,,,0.0,0.3333333333333333
5381.0,5381218.0,112538_116,0,0,0,0,0,0,0,0,0.0,0.0,,
5381.0,5381219.0,112538_114,0,0,3,3,0,0,1,1,,,1.0,1.0
5381.0,5381220.0,112538_112,1,0,0,0,1,0,0,0,0.5,,,
5381.0,5381221.0,112538_109,1,1,0,0,1,1,0,0,0.5,1.0,,
5381.0,5381222.0,112538_107,0,1,0,0,0,1,0,0,0.0,1.0,,
5381.0,5381224.0,112538_146,0,0,3,0,0,0,1,0,,,1.0,
5381.0,5381225.0,112538_145,0,0,0,0,0,0,0,0,0.0,,,
5381.0,5381229.0,112538_148,2,1,0,0,1,1,0,0,0.6666666666666666,0.3333333333333333,,
5382.0,5382201.0,112538_133,0,0,2,2,0,0,1,1,,,1.0,0.6666666666666666
5382.0,5382202.0,112538_111,0,0,2,2,0,0,1,1,,,1.0,0.6666666666666666
5382.0,5382203.0,112538_104,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5382.0,5382204.0,112538_102,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.5
5382.0,5382205.0,112538_143,0,0,2,2,0,0,1,1,,,0.6666666666666666,1.0
5382.0,5382206.0,112538_141,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.3333333333333333
5382.0,5382207.0,112538_139,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5382.0,5382208.0,112538_137,0,0,0,0,0,0,0,0,0.0,0.0,,
5382.0,5382209.0,112538_135,0,0,2,0,0,0,1,0,,,0.6666666666666666,0.0
5382.0,5382210.0,112538_132,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5382.0,5382211.0,112538_130,0,0,0,0,0,0,0,0,0.0,0.0,,
5382.0,5382212.0,112538_128,1,2,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666,,
5382.0,5382213.0,112538_126,1,2,0,0,1,1,0,0,0.5,1.0,,
5382.0,5382216.0,112538_115,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5382.0,5382217.0,112538_110,0,1,0,0,0,1,0,0,0.0,0.3333333333333333,,
5382.0,5382221.0,112538_152,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
5391.0,5391201.0,112539_167,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.5
5391.0,5391202.0,112539_156,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.5
5391.0,5391203.0,112539_144,0,0,0,0,0,0,0,0,,,0.0,0.0
5391.0,5391204.0,112539_130,0,0,1,1,0,0,1,1,,,1.0,0.5
5391.0,5391205.0,112539_119,0,0,3,1,0,0,1,1,,,1.0,0.5
5391.0,5391206.0,112539_109,0,0,3,1,0,0,1,1,,,1.0,0.3333333333333333
5391.0,5391207.0,112539_103,0,0,0,0,0,0,0,0,0.0,0.0,,
5391.0,5391208.0,112539_169,1,1,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,,
5391.0,5391211.0,112539_165,0,0,3,3,0,0,1,1,,,1.0,1.0
5391.0,5391212.0,112539_164,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5391.0,5391213.0,112539_163,2,1,0,0,1,1,0,0,0.6666666666666666,0.5,,
5391.0,5391214.0,112539_162,0,0,2,3,0,0,1,1,,,0.6666666666666666,1.0
5391.0,5391215.0,112539_161,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5391.0,5391216.0,112539_160,0,0,3,0,0,0,1,0,,,1.0,0.0
5391.0,5391218.0,112539_158,0,0,0,0,0,0,0,0,0.0,0.0,,
5391.0,5391219.0,112539_157,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5391.0,5391220.0,112539_155,0,0,3,3,0,0,1,1,,,1.0,1.0
5391.0,5391221.0,112539_154,0,2,0,0,0,1,0,0,0.0,1.0,,
5391.0,5391222.0,112539_153,1,2,0,0,1,1,0,0,0.5,0.6666666666666666,,
5391.0,5391223.0,112539_152,1,1,0,0,1,1,0,0,0.5,0.5,,
5391.0,5391224.0,112539_151,1,2,0,0,1,1,0,0,0.3333333333333333,1.0,,
5391.0,5391227.0,112539_148,0,0,0,0,0,0,0,0,,,0.0,0.0
5391.0,5391228.0,112539_139,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5391.0,5391230.0,112539_143,2,2,0,0,1,1,0,0,1.0,1.0,,
5391.0,5391234.0,112539_137,0,0,0,0,0,0,0,0,,0.0,,
5391.0,5391235.0,112539_136,0,0,0,0,0,0,0,0,0.0,0.0,,
5391.0,5391236.0,112539_135,1,2,0,0,1,1,0,0,0.3333333333333333,0.6666666666666666,,
5391.0,5391237.0,112539_133,1,1,0,0,1,1,0,0,0.5,0.5,,
5391.0,5391239.0,112539_131,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
5391.0,5391240.0,112539_129,0,2,0,0,0,1,0,0,0.0,0.6666666666666666,,
5391.0,5391244.0,112539_125,1,1,0,0,1,1,0,0,0.5,0.5,,
5391.0,5391245.0,112539_124,0,0,0,0,0,0,0,0,0.0,0.0,,
5391.0,5391247.0,112539_122,3,2,0,0,1,1,0,0,1.0,0.6666666666666666,,
5391.0,5391248.0,112539_121,1,1,0,0,1,1,0,0,0.5,0.5,,
5391.0,5391249.0,112539_120,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
5391.0,5391251.0,112539_113,0,2,0,0,0,1,0,0,0.0,1.0,,
5391.0,5391252.0,112539_116,2,3,0,0,1,1,0,0,1.0,1.0,,
5391.0,5391253.0,112539_105,0,1,0,0,0,1,0,0,0.0,1.0,,
5391.0,5391257.0,112539_111,1,2,0,0,1,1,0,0,0.5,0.6666666666666666,,
5391.0,5391258.0,112539_110,1,1,0,0,1,1,0,0,0.3333333333333333,0.5,,
5391.0,5391259.0,112539_175,0,3,0,0,0,1,0,0,0.0,1.0,,
5391.0,5391261.0,112539_104,2,2,0,0,1,1,0,0,1.0,1.0,,
5391.0,5391264.0,112539_106,1,0,0,0,1,0,0,0,1.0,,,
5391.0,5391267.0,112539_115,2,2,0,0,1,1,0,0,1.0,1.0,,
5401.0,5401201.0,112540_256,0,0,1,1,0,0,1,1,,,1.0,1.0
5401.0,5401202.0,112540_254,0,0,0,1,0,0,0,1,,,0.0,0.5
5401.0,5401203.0,112540_135,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5401.0,5401204.0,112540_244,0,0,2,1,0,0,1,1,,,1.0,1.0
5401.0,5401206.0,112540_152,0,0,2,2,0,0,1,1,,,1.0,1.0
5401.0,5401208.0,112540_282,0,0,2,1,0,0,1,1,,,1.0,1.0
5401.0,5401209.0,112540_301,0,0,2,2,0,0,1,1,,,1.0,1.0
5401.0,5401210.0,112540_137,0,0,1,1,0,0,1,1,,,0.5,0.5
5401.0,5401211.0,112540_304,0,0,1,0,0,0,1,0,,,0.5,0.0
5401.0,5401212.0,112540_149,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5401.0,5401213.0,112540_146,0,0,3,2,0,0,1,1,,,1.0,1.0
5401.0,5401215.0,112540_147,0,0,0,0,0,0,0,0,,,0.0,0.0
5401.0,5401217.0,112540_702,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401219.0,112540_130,0,0,1,2,0,0,1,1,,,1.0,0.6666666666666666
5401.0,5401220.0,112540_346,1,1,0,0,1,1,0,0,0.3333333333333333,0.5,,
5401.0,5401221.0,112540_210,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401222.0,112540_272,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401226.0,112540_237,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401228.0,112540_708,1,1,0,0,1,1,0,0,0.3333333333333333,0.5,,
5401.0,5401230.0,112540_163,0,0,1,1,0,0,1,1,,,0.5,0.5
5401.0,5401232.0,112540_108,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
5401.0,5401233.0,112540_184,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.5
5401.0,5401234.0,112540_201,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
5401.0,5401235.0,112540_119,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5401.0,5401236.0,112540_117,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5401.0,5401238.0,112540_120,0,0,3,1,0,0,1,1,,,1.0,0.5
5401.0,5401239.0,112540_110,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401240.0,112540_204,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401241.0,112540_251,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5401.0,5401242.0,112540_300,0,0,3,2,0,0,1,1,,,1.0,1.0
5401.0,5401243.0,112540_180,0,0,3,2,0,0,1,1,,,1.0,0.6666666666666666
5401.0,5401244.0,112540_190,0,0,2,3,0,0,1,1,,,0.6666666666666666,1.0
5401.0,5401245.0,112540_249,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
5401.0,5401246.0,112540_106,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401247.0,112540_205,0,0,1,1,0,0,1,1,,,1.0,1.0
5401.0,5401248.0,112540_148,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401249.0,112540_138,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401251.0,112540_720,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401252.0,112540_219,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
5401.0,5401253.0,112540_141,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401254.0,112540_701,0,0,3,3,0,0,1,1,,,1.0,1.0
5401.0,5401256.0,112540_140,0,0,0,0,0,0,0,0,,,0.0,0.0
5401.0,5401257.0,112540_293,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401258.0,112540_232,0,1,0,0,0,1,0,0,0.0,0.3333333333333333,,
5401.0,5401259.0,112540_352,1,1,0,0,1,1,0,0,1.0,1.0,,
5401.0,5401261.0,112540_311,1,1,0,0,1,1,0,0,1.0,1.0,,
5401.0,5401262.0,112540_323,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401264.0,112540_151,0,0,0,0,0,0,0,0,0.0,0.0,,
5401.0,5401265.0,112540_347,0,0,0,0,0,0,0,0,,,0.0,0.0
5402.0,5402201.0,112540_125,0,0,2,0,0,0,1,0,,,0.6666666666666666,0.0
5402.0,5402202.0,112540_115,0,0,0,0,0,0,0,0,0.0,0.0,,
5402.0,5402203.0,112540_104,0,0,0,0,0,0,0,0,,,0.0,0.0
5402.0,5402204.0,112540_265,1,1,0,0,1,1,0,0,0.5,0.5,,
5402.0,5402206.0,112540_246,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
5402.0,5402207.0,112540_243,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
5402.0,5402209.0,112540_143,0,0,0,0,0,0,0,0,,,0.0,0.0
5402.0,5402210.0,112540_207,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
5402.0,5402211.0,112540_133,0,0,2,1,0,0,1,1,,,0.6666666666666666,0.5
5402.0,5402212.0,112540_206,0,0,1,2,0,0,1,1,,,0.3333333333333333,0.6666666666666666
5402.0,5402213.0,112540_292,1,0,0,0,1,0,0,0,0.3333333333333333,0.0,,
5402.0,5402214.0,112540_155,0,0,2,2,0,0,1,1,,,1.0,1.0
5402.0,5402216.0,112540_228,1,1,0,0,1,1,0,0,1.0,1.0,,
5402.0,5402217.0,112540_221,2,1,0,0,1,1,0,0,0.6666666666666666,0.5,,
