s_merge_id,fs_student_id,fs_classroom,high_eyes,high_raven,high_bangla,high_math,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3,isolated_emot_in,isolated_academic_in,isolated_emot_out,isolated_academic_out
134399_140,3991242.0,3991.0,no,no,yes,no,3991228.0,3991217.0,3991253.0,3991228.0,3991251.0,3991216.0,1,0,0,0
134399_139,3991243.0,3991.0,no,yes,no,no,3991201.0,3991236.0,3991256.0,3991201.0,3991236.0,3991256.0,0,0,0,0
134399_138,3991244.0,3991.0,no,yes,no,no,3991222.0,,,,,,0,0,0,1
134399_136,3991245.0,3991.0,yes,yes,no,no,3991214.0,3991225.0,3991247.0,3991214.0,3991225.0,3991255.0,0,0,0,0
134399_150,3991247.0,3991.0,yes,yes,yes,no,3991214.0,3991245.0,3991224.0,3991245.0,3991225.0,3991214.0,0,0,0,0
134399_131,3991248.0,3991.0,yes,yes,yes,yes,3991254.0,3991240.0,3991245.0,3991220.0,3991240.0,3991241.0,0,0,0,0
134399_130,3991249.0,3991.0,no,yes,no,yes,3991255.0,3991201.0,3991219.0,3991201.0,,,0,0,0,0
134399_129,3991250.0,3991.0,yes,no,no,no,3991219.0,3991214.0,3991225.0,3991219.0,3991249.0,3991214.0,0,0,0,0
134399_128,3991251.0,3991.0,no,no,no,no,3991228.0,3991211.0,3991216.0,3991228.0,3991226.0,3991242.0,0,0,0,0
134399_186,3991252.0,3991.0,no,yes,no,no,3991221.0,3991215.0,3991228.0,3991221.0,3991218.0,,0,0,0,0
134399_126,3991253.0,3991.0,no,no,no,no,3991217.0,,,3991217.0,,,0,0,0,0
134399_125,3991254.0,3991.0,yes,no,no,yes,3991240.0,3991249.0,3991220.0,3991220.0,3991240.0,3991248.0,0,1,0,0
134399_124,3991255.0,3991.0,yes,yes,no,yes,3991219.0,3991225.0,3991214.0,3991219.0,3991214.0,3991245.0,0,0,0,0
134399_122,3991256.0,3991.0,yes,no,no,no,3991201.0,3991236.0,3991243.0,3991201.0,3991236.0,3991243.0,0,0,0,0
134399_118,3991259.0,3991.0,no,no,no,no,3991253.0,3991233.0,,3991215.0,,,1,1,0,0
134399_117,3991260.0,3991.0,yes,no,no,no,3991261.0,3991262.0,,,,,0,0,0,1
134399_115,3991261.0,3991.0,yes,yes,no,no,3991260.0,3991262.0,,3991244.0,3991221.0,3991260.0,0,0,0,0
134399_114,3991262.0,3991.0,no,no,no,no,3991261.0,3991260.0,3991216.0,3991260.0,3991261.0,3991216.0,0,1,0,0
134399_113,3991263.0,3991.0,no,no,no,no,3991220.0,3991264.0,3991209.0,3991220.0,3991209.0,3991264.0,0,1,0,0
134399_106,3991264.0,3991.0,no,yes,no,no,3991220.0,3991241.0,3991205.0,3991220.0,3991241.0,3991205.0,0,0,0,0
134399_103,3991265.0,3991.0,no,no,no,no,3991218.0,3991211.0,3991235.0,3991220.0,3991218.0,3991211.0,0,0,0,0
134399_104,3991266.0,3991.0,yes,yes,no,no,3991205.0,3991220.0,3991269.0,3991205.0,3991220.0,3991234.0,1,1,0,0
131459_112,4591202.0,4591.0,yes,no,no,no,4591211.0,4591213.0,4591222.0,4591211.0,4591213.0,4591222.0,0,0,0,0
131459_137,4591203.0,4591.0,no,yes,no,no,4591214.0,4591212.0,4591224.0,4591213.0,4591201.0,4591211.0,0,0,0,0
131459_123,4591204.0,4591.0,no,no,no,no,4591230.0,4591213.0,4591215.0,4591224.0,4591202.0,4591211.0,0,0,0,0
131459_124,4591207.0,4591.0,no,yes,yes,yes,4591219.0,4591220.0,4591206.0,4591219.0,4591220.0,4591221.0,0,0,0,0
131459_105,4591210.0,4591.0,no,yes,no,yes,4591214.0,,,4591214.0,,,0,0,0,0
131459_126,4591211.0,4591.0,yes,yes,no,yes,4591213.0,4591202.0,,4591213.0,4591202.0,,0,0,0,0
131459_103,4591212.0,4591.0,no,no,no,no,4591215.0,4591203.0,4591224.0,4591215.0,4591203.0,4591224.0,0,0,0,0
131459_138,4591213.0,4591.0,yes,yes,yes,yes,4591211.0,4591202.0,,4591211.0,4591202.0,,0,0,0,0
131459_128,4591214.0,4591.0,no,no,no,no,4591210.0,,,4591210.0,,,0,0,0,0
131459_129,4591215.0,4591.0,no,yes,no,no,4591212.0,4591203.0,4591224.0,4591212.0,4591203.0,4591224.0,0,0,0,0
131459_127,4591218.0,4591.0,no,yes,no,no,4591220.0,4591226.0,4591207.0,4591219.0,4591220.0,4591207.0,0,0,0,0
131459_102,4591219.0,4591.0,no,no,no,no,4591207.0,4591206.0,4591211.0,4591206.0,4591213.0,4591207.0,0,0,0,0
131459_136,4591220.0,4591.0,yes,no,no,no,4591207.0,4591206.0,4591219.0,4591207.0,4591206.0,4591219.0,0,0,0,0
131459_125,4591222.0,4591.0,no,no,yes,no,4591202.0,4591224.0,,4591202.0,4591213.0,4591224.0,0,0,0,0
131459_135,4591224.0,4591.0,no,no,no,no,4591203.0,4591215.0,4591212.0,4591213.0,4591203.0,4591211.0,0,0,0,0
131459_101,4591226.0,4591.0,no,yes,no,yes,4591221.0,,,4591219.0,4591221.0,4591207.0,0,1,0,0
131459_133,4591229.0,4591.0,no,no,no,no,4591213.0,4591212.0,4591210.0,4591211.0,4591203.0,4591212.0,1,1,0,0
131459_110,4591230.0,4591.0,no,no,no,no,4591204.0,,,4591214.0,4591215.0,4591204.0,0,1,0,0
131459_117,4591232.0,4591.0,no,no,no,no,4591217.0,4591218.0,4591220.0,4591214.0,4591218.0,4591220.0,1,1,0,0
112538_144,5381201.0,5381.0,yes,yes,yes,yes,5381202.0,5381204.0,5381207.0,5381202.0,5381204.0,5381218.0,0,0,0,0
112538_122,5381202.0,5381.0,no,yes,yes,yes,5381201.0,5381204.0,5381224.0,5381201.0,5381204.0,5381203.0,0,0,0,0
112538_105,5381203.0,5381.0,no,no,no,no,5381205.0,5381220.0,5381212.0,5381205.0,5381210.0,5381211.0,0,0,0,0
112538_103,5381204.0,5381.0,yes,yes,yes,yes,5381201.0,5381202.0,5381207.0,5381201.0,5381202.0,5381213.0,0,0,0,0
112538_101,5381205.0,5381.0,no,yes,yes,no,5381203.0,5381220.0,5381217.0,5381203.0,5381208.0,5381211.0,0,0,0,0
112538_131,5381211.0,5381.0,no,yes,no,yes,5381203.0,5381205.0,5381220.0,5381203.0,5381205.0,5381212.0,0,0,0,0
112538_127,5381213.0,5381.0,yes,no,yes,yes,5381202.0,5381201.0,5381204.0,5381204.0,5381201.0,,0,0,0,0
112538_123,5381215.0,5381.0,no,no,no,no,5381220.0,5381239.0,5381232.0,5381203.0,5381220.0,5381239.0,1,1,0,0
112538_118,5381217.0,5381.0,yes,yes,yes,yes,5381203.0,5381220.0,5381211.0,5381205.0,5381203.0,5381220.0,0,0,0,0
112538_116,5381218.0,5381.0,yes,no,yes,no,5381213.0,5381207.0,5381201.0,5381201.0,5381202.0,5381204.0,1,0,0,0
112538_114,5381219.0,5381.0,no,no,no,yes,5381204.0,5381202.0,5381201.0,5381201.0,5381202.0,5381204.0,1,1,0,0
112538_112,5381220.0,5381.0,no,no,no,no,5381236.0,5381228.0,5381212.0,5381233.0,5381203.0,5381217.0,0,0,0,0
112538_109,5381221.0,5381.0,no,yes,yes,no,5381222.0,5381226.0,5381227.0,5381201.0,5381207.0,5381218.0,0,1,0,0
112538_107,5381222.0,5381.0,no,no,no,no,5381227.0,5381226.0,5381221.0,5381201.0,5381204.0,5381202.0,0,1,0,0
112538_146,5381224.0,5381.0,yes,yes,yes,yes,5381223.0,5381226.0,5381227.0,5381201.0,5381202.0,5381204.0,0,1,0,0
112538_145,5381225.0,5381.0,no,no,yes,no,5381241.0,5381234.0,5381240.0,5381201.0,5381202.0,5381207.0,1,1,0,0
112538_148,5381229.0,5381.0,yes,no,no,no,5381205.0,5381217.0,5381202.0,5381202.0,5381205.0,5381203.0,1,1,0,0
112538_133,5382201.0,5382.0,yes,no,yes,yes,5382203.0,5382207.0,5382211.0,5382203.0,5382207.0,,0,0,0,0
112538_111,5382202.0,5382.0,no,yes,yes,yes,5382204.0,5382205.0,5382208.0,5382204.0,5382205.0,,0,0,0,0
112538_104,5382203.0,5382.0,no,yes,yes,yes,5382201.0,5382207.0,5382213.0,5382201.0,5382207.0,5382213.0,0,0,0,0
112538_102,5382204.0,5382.0,yes,yes,yes,yes,5382208.0,5382222.0,5382202.0,5382202.0,5382205.0,5382208.0,0,0,0,0
112538_143,5382205.0,5382.0,yes,yes,yes,yes,5382202.0,5382204.0,5382224.0,5382202.0,5382204.0,5382216.0,0,0,0,0
112538_141,5382206.0,5382.0,yes,yes,yes,yes,5382211.0,5382207.0,5382212.0,5382207.0,5382211.0,5382203.0,0,0,0,0
112538_139,5382207.0,5382.0,no,yes,yes,yes,5382211.0,5382206.0,5382201.0,5382201.0,5382203.0,5382211.0,0,0,0,0
112538_137,5382208.0,5382.0,yes,yes,no,no,5382204.0,5382202.0,5382210.0,5382202.0,5382204.0,5382210.0,0,0,0,0
112538_135,5382209.0,5382.0,no,yes,yes,yes,5382221.0,5382217.0,,5382201.0,5382207.0,5382221.0,0,0,0,0
112538_132,5382210.0,5382.0,no,yes,no,yes,5382202.0,5382204.0,5382208.0,5382202.0,5382208.0,5382204.0,0,0,0,0
112538_130,5382211.0,5382.0,no,no,no,no,5382201.0,5382206.0,5382207.0,5382201.0,5382203.0,5382207.0,0,0,0,0
112538_128,5382212.0,5382.0,no,no,no,no,5382206.0,5382211.0,5382216.0,5382207.0,5382211.0,5382206.0,0,0,0,0
112538_126,5382213.0,5382.0,no,no,no,no,5382218.0,5382212.0,5382216.0,5382218.0,5382206.0,5382212.0,0,0,0,0
112538_115,5382216.0,5382.0,yes,no,yes,no,5382212.0,5382206.0,5382211.0,5382201.0,5382207.0,5382203.0,0,0,0,0
112538_110,5382217.0,5382.0,no,no,no,no,5382201.0,5382209.0,5382221.0,5382201.0,5382207.0,5382203.0,0,1,0,0
112538_152,5382221.0,5382.0,no,no,no,no,5382209.0,5382225.0,5382203.0,5382209.0,5382211.0,5382206.0,0,0,0,0
112539_167,5391201.0,5391.0,yes,yes,yes,yes,5391202.0,5391207.0,5391217.0,5391202.0,5391204.0,5391207.0,0,0,0,0
112539_156,5391202.0,5391.0,yes,yes,yes,yes,5391201.0,5391207.0,5391217.0,5391201.0,5391204.0,5391207.0,0,0,0,0
112539_144,5391203.0,5391.0,yes,yes,yes,yes,5391215.0,5391212.0,5391237.0,5391212.0,5391215.0,5391237.0,0,0,0,0
112539_130,5391204.0,5391.0,yes,yes,yes,yes,5391202.0,5391215.0,5391217.0,5391202.0,,,0,0,0,0
112539_119,5391205.0,5391.0,yes,yes,yes,yes,5391204.0,5391215.0,5391231.0,5391201.0,5391202.0,5391204.0,1,0,0,0
112539_109,5391206.0,5391.0,yes,yes,yes,yes,5391258.0,5391245.0,5391214.0,5391211.0,5391214.0,5391220.0,0,0,0,0
112539_103,5391207.0,5391.0,no,no,no,no,5391201.0,5391202.0,5391217.0,5391201.0,5391202.0,5391205.0,0,0,0,0
112539_169,5391208.0,5391.0,no,no,no,no,5391258.0,5391220.0,5391227.0,5391204.0,5391205.0,5391258.0,0,0,0,0
112539_165,5391211.0,5391.0,yes,yes,yes,yes,5391214.0,5391220.0,5391206.0,5391220.0,5391201.0,5391214.0,0,0,0,0
112539_164,5391212.0,5391.0,yes,no,yes,no,5391203.0,5391215.0,5391237.0,5391201.0,5391202.0,5391203.0,0,0,0,0
112539_163,5391213.0,5391.0,yes,yes,no,no,5391201.0,5391228.0,5391231.0,5391203.0,5391212.0,5391219.0,0,0,0,0
