fs_classroom,isolate_in_a,isolate_in_e,reciprocity_share_a,reciprocity_share_e
1125381,0.5555555555555556,0.4444444444444444,0.25,0.5
1125382,0.7142857142857143,0.42857142857142855,0.0,0.2857142857142857
1125391,0.45454545454545453,0.18181818181818182,0.2857142857142857,0.5833333333333334
1125401,0.6428571428571429,0.7142857142857143,0.4,0.5
1125402,0.3684210526315789,0.5263157894736842,0.6666666666666666,0.6666666666666666
1125403,0.6666666666666666,0.5,0.5,0.8571428571428571
1125431,0.44,0.2,0.1,0.6875
1125432,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333334
1125441,0.42857142857142855,0.2857142857142857,0.46153846153846156,0.6060606060606061
1125451,0.34285714285714286,0.34285714285714286,0.4230769230769231,0.5
1125452,0.40625,0.375,0.5641025641025641,0.46153846153846156
1125481,0.1875,0.1875,0.4166666666666667,0.4666666666666667
1125482,1.0,1.0,0.0,0.0
1125491,0.45,0.2,0.2727272727272727,0.4444444444444444
1125492,0.3,0.3,0.3333333333333333,0.5185185185185185
1125511,0.20689655172413793,0.20689655172413793,0.21052631578947367,0.5185185185185185
1125551,0.3333333333333333,0.2,0.38461538461538464,0.6153846153846154
1125571,0.13636363636363635,0.09090909090909091,0.5641025641025641,0.6818181818181818
1125581,0.5277777777777778,0.1111111111111111,0.22727272727272727,0.5217391304347826
1125601,0.2857142857142857,0.0,0.5217391304347826,0.7407407407407407
1125611,0.5833333333333334,0.3333333333333333,0.0,0.36363636363636365
1125791,0.125,0.125,0.3076923076923077,0.4
1125821,0.3333333333333333,0.12121212121212122,0.38095238095238093,0.5490196078431373
1125841,0.5172413793103449,0.4482758620689655,0.38461538461538464,0.4827586206896552
1125851,0.6666666666666666,0.5,0.25,0.47619047619047616
1125881,0.4117647058823529,0.35294117647058826,0.13333333333333333,0.26666666666666666
1125882,1.0,1.0,0.0,0.0
1125891,0.3103448275862069,0.13793103448275862,0.34615384615384615,0.6333333333333333
1125892,0.8,0.4,0.0,0.6666666666666666
1125911,0.29411764705882354,0.29411764705882354,0.27586206896551724,0.5517241379310345
1125941,0.6666666666666666,0.25,0.25,0.5
1125951,0.1724137931034483,0.1724137931034483,0.4444444444444444,0.5882352941176471
1125952,0.3076923076923077,0.3076923076923077,0.1935483870967742,0.3225806451612903
1125971,0.17647058823529413,0.17647058823529413,0.5,0.4444444444444444
1125991,0.35294117647058826,0.29411764705882354,0.13333333333333333,0.42105263157894735
1126041,0.2727272727272727,0.18181818181818182,0.19047619047619047,0.36363636363636365
1126061,0.22580645161290322,0.22580645161290322,0.4897959183673469,0.5423728813559322
