classroom_id,isolate_in_f,isolate_in_s,reciprocity_share_f,reciprocity_share_s
1191,0.35714285714285715,0.32142857142857145,0.36,0.37209302325581395
2211,0.375,0.20833333333333334,0.32558139534883723,0.4897959183673469
3181,0.17647058823529413,0.17647058823529413,0.3333333333333333,0.6067415730337079
3991,0.125,0.08928571428571429,0.4788732394366197,0.6164383561643836
4591,0.21052631578947367,0.10526315789473684,0.34782608695652173,0.6341463414634146
5381,0.4117647058823529,0.29411764705882354,0.4186046511627907,0.3125
5382,0.0625,0.0,0.4444444444444444,0.6976744186046512
5391,0.29545454545454547,0.13636363636363635,0.32432432432432434,0.5740740740740741
5401,0.1836734693877551,0.12244897959183673,0.3448275862068966,0.4864864864864865
5402,0.11904761904761904,0.09523809523809523,0.5849056603773585,0.5263157894736842
5403,0.22857142857142856,0.08571428571428572,0.28169014084507044,0.5352112676056338
5431,0.23076923076923078,0.05128205128205128,0.25806451612903225,0.651685393258427
5432,0.5454545454545454,0.2727272727272727,0.75,0.8
5441,0.25925925925925924,0.07407407407407407,0.3870967741935484,0.6060606060606061
5451,0.18181818181818182,0.2545454545454545,0.45454545454545453,0.45528455284552843
5452,0.1568627450980392,0.17647058823529413,0.41025641025641024,0.5217391304347826
5481,0.09090909090909091,0.13636363636363635,0.43137254901960786,0.4528301886792453
5482,1.0,1.0,0.0,0.0
5491,0.1875,0.15625,0.27906976744186046,0.39080459770114945
5492,0.3235294117647059,0.29411764705882354,0.2916666666666667,0.4943820224719101
5511,0.1388888888888889,0.1388888888888889,0.18823529411764706,0.4888888888888889
5551,0.25,0.1,0.28,0.5106382978723404
5571,0.12903225806451613,0.0967741935483871,0.45714285714285713,0.6197183098591549
5581,0.43902439024390244,0.0975609756097561,0.1643835616438356,0.5652173913043478
5601,0.21052631578947367,0.05263157894736842,0.5833333333333334,0.6818181818181818
5611,0.36363636363636365,0.22727272727272727,0.11764705882352941,0.43137254901960786
5791,0.125,0.125,0.3076923076923077,0.4
5821,0.18867924528301888,0.1320754716981132,0.43478260869565216,0.6142857142857143
5822,0.375,0.25,0.3333333333333333,0.14285714285714285
5841,0.1896551724137931,0.15517241379310345,0.36231884057971014,0.5714285714285714
5851,0.3023255813953488,0.046511627906976744,0.3559322033898305,0.5
5881,0.2692307692307692,0.23076923076923078,0.39285714285714285,0.52
5882,1.0,1.0,0.0,0.0
5891,0.2972972972972973,0.13513513513513514,0.32558139534883723,0.5617977528089888
5892,0.6666666666666666,0.5,0.0,0.5
5911,0.13636363636363635,0.22727272727272727,0.35714285714285715,0.46153846153846156
5941,0.36363636363636365,0.09090909090909091,0.4897959183673469,0.6976744186046512
5951,0.058823529411764705,0.058823529411764705,0.5954198473282443,0.6818181818181818
5952,0.21951219512195122,0.12195121951219512,0.37209302325581395,0.3614457831325301
5971,0.12,0.04,0.46153846153846156,0.6461538461538462
5991,0.21739130434782608,0.17391304347826086,0.3137254901960784,0.6086956521739131
6041,0.2857142857142857,0.21428571428571427,0.29411764705882354,0.47058823529411764
6061,0.14285714285714285,0.11904761904761904,0.48148148148148145,0.5945945945945946
6071,0.25,0.1111111111111111,0.25806451612903225,0.4827586206896552
6081,0.24390243902439024,0.1951219512195122,0.34782608695652173,0.5777777777777777
6091,0.34782608695652173,0.30434782608695654,0.2857142857142857,0.42857142857142855
6101,0.20833333333333334,0.16666666666666666,0.36,0.5789473684210527
6111,0.23076923076923078,0.1794871794871795,0.32727272727272727,0.5660377358490566
6141,0.2631578947368421,0.02631578947368421,0.2765957446808511,0.6185567010309279
6161,0.2692307692307692,0.2692307692307692,0.4126984126984127,0.5517241379310345
6201,0.23076923076923078,0.23076923076923078,0.5217391304347826,0.5333333333333333
6202,0.375,0.3125,0.26666666666666666,0.25806451612903225
6203,1.0,0.5,0.0,0.0
6211,0.23809523809523808,0.19047619047619047,0.2553191489361702,0.38095238095238093
6221,0.21875,0.125,0.21739130434782608,0.41379310344827586
6231,0.15384615384615385,0.09615384615384616,0.34328358208955223,0.5151515151515151
6241,0.17142857142857143,0.11428571428571428,0.47761194029850745,0.5555555555555556
6301,0.22727272727272727,0.3181818181818182,0.4827586206896552,0.5
6611,0.3333333333333333,0.21212121212121213,0.23655913978494625,0.4835164835164835
6621,0.15625,0.09375,0.25,0.525
6631,0.3793103448275862,0.2413793103448276,0.2553191489361702,0.43478260869565216
6632,0.5,1.0,0.0,0.0
6651,0.25925925925925924,0.1111111111111111,0.33962264150943394,0.5862068965517241
6661,0.125,0.1,0.46601941747572817,0.5510204081632653
6662,0.25,0.3055555555555556,0.3582089552238806,0.3380281690140845
6663,0.16326530612244897,0.12244897959183673,0.4485981308411215,0.6363636363636364
6664,0.3,0.125,0.3125,0.6067415730337079
6671,0.13432835820895522,0.1044776119402985,0.5906040268456376,0.6258503401360545
6701,0.18181818181818182,0.12121212121212122,0.5666666666666667,0.6666666666666666
6711,0.18478260869565216,0.10869565217391304,0.2786885245901639,0.48214285714285715
6712,0.08433734939759036,0.10843373493975904,0.3891402714932127,0.4594594594594595
6713,0.1375,0.1625,0.5291005291005291,0.5053763440860215
6714,0.14545454545454545,0.2,0.5132743362831859,0.5818181818181818
6721,1.0,1.0,0.0,0.0
6722,0.13157894736842105,0.05263157894736842,0.47058823529411764,0.6835443037974683
6751,0.12962962962962962,0.12962962962962962,0.40336134453781514,0.6296296296296297
6752,0.21621621621621623,0.16216216216216217,0.43243243243243246,0.5555555555555556
6753,0.20512820512820512,0.10256410256410256,0.46511627906976744,0.6
6761,0.3793103448275862,0.3103448275862069,0.22727272727272727,0.358974358974359
6771,0.36,0.2,0.2807017543859649,0.4897959183673469
6801,0.0975609756097561,0.12195121951219512,0.45454545454545453,0.591304347826087
6811,0.42857142857142855,0.14285714285714285,0.1651376146788991,0.4380952380952381
6821,0.29411764705882354,0.14705882352941177,0.24539877300613497,0.4970414201183432
6841,0.23076923076923078,0.10256410256410256,0.4074074074074074,0.47706422018348627
6852,0.225,0.1,0.3488372093023256,0.611764705882353
