fs_classroom,isolate_in_a,isolate_in_e,reciprocity_share_a,reciprocity_share_e
1125381,0.4117647058823529,0.29411764705882354,0.4186046511627907,0.3125
1125382,0.0625,0.0,0.4444444444444444,0.6976744186046512
1125391,0.29545454545454547,0.13636363636363635,0.32432432432432434,0.5740740740740741
1125401,0.2127659574468085,0.0851063829787234,0.36363636363636365,0.5094339622641509
1125402,0.11904761904761904,0.07142857142857142,0.5794392523364486,0.5154639175257731
1125403,0.22857142857142856,0.17142857142857143,0.2857142857142857,0.5217391304347826
1125431,0.23076923076923078,0.05128205128205128,0.25806451612903225,0.651685393258427
1125432,0.5454545454545454,0.2727272727272727,0.75,0.8
1125441,0.25925925925925924,0.07407407407407407,0.3870967741935484,0.6060606060606061
1125451,0.20833333333333334,0.1875,0.44036697247706424,0.5272727272727272
1125452,0.23809523809523808,0.2619047619047619,0.4935064935064935,0.46153846153846156
1125481,0.09090909090909091,0.13636363636363635,0.43137254901960786,0.4528301886792453
1125482,1.0,1.0,0.0,0.0
1125491,0.1875,0.15625,0.27906976744186046,0.39080459770114945
1125492,0.3235294117647059,0.29411764705882354,0.2916666666666667,0.4943820224719101
1125511,0.1388888888888889,0.1388888888888889,0.18823529411764706,0.4888888888888889
1125551,0.25,0.1,0.28,0.5106382978723404
1125571,0.12903225806451613,0.0967741935483871,0.45714285714285713,0.6197183098591549
1125581,0.43902439024390244,0.0975609756097561,0.1643835616438356,0.5652173913043478
1125601,0.21052631578947367,0.05263157894736842,0.5833333333333334,0.6818181818181818
1125611,0.36363636363636365,0.22727272727272727,0.11764705882352941,0.43137254901960786
1125791,0.125,0.125,0.3076923076923077,0.4
1125821,0.21311475409836064,0.14754098360655737,0.4266666666666667,0.5714285714285714
1125841,0.1896551724137931,0.15517241379310345,0.36231884057971014,0.5714285714285714
1125851,0.3023255813953488,0.046511627906976744,0.3559322033898305,0.5
1125881,0.28,0.24,0.4074074074074074,0.5416666666666666
1125882,0.6666666666666666,1.0,0.0,0.0
1125891,0.2972972972972973,0.13513513513513514,0.32558139534883723,0.5617977528089888
1125892,0.6666666666666666,0.5,0.0,0.5
1125911,0.13636363636363635,0.22727272727272727,0.35714285714285715,0.46153846153846156
1125941,0.36363636363636365,0.09090909090909091,0.4897959183673469,0.6976744186046512
1125951,0.04,0.06,0.5714285714285714,0.65625
1125952,0.24390243902439024,0.14634146341463414,0.37037037037037035,0.379746835443038
1125971,0.12,0.04,0.46153846153846156,0.6461538461538462
1125991,0.21739130434782608,0.17391304347826086,0.3137254901960784,0.6086956521739131
1126041,0.2857142857142857,0.21428571428571427,0.29411764705882354,0.47058823529411764
1126061,0.14285714285714285,0.11904761904761904,0.48148148148148145,0.5945945945945946
1126071,0.25,0.1111111111111111,0.25806451612903225,0.4827586206896552
1126081,0.24390243902439024,0.1951219512195122,0.34782608695652173,0.5777777777777777
1126091,0.34782608695652173,0.30434782608695654,0.2857142857142857,0.42857142857142855
1126101,0.20833333333333334,0.16666666666666666,0.36,0.5789473684210527
1126111,0.23076923076923078,0.1794871794871795,0.32727272727272727,0.5660377358490566
1126141,0.2631578947368421,0.02631578947368421,0.2765957446808511,0.6185567010309279
1126161,0.2692307692307692,0.2692307692307692,0.4126984126984127,0.5517241379310345
1126201,0.2,0.2,0.5217391304347826,0.5423728813559322
1126202,0.35294117647058826,0.29411764705882354,0.1875,0.24242424242424243
1126203,1.0,0.5,0.0,0.0
1126211,0.23809523809523808,0.19047619047619047,0.2553191489361702,0.38095238095238093
1126221,0.21875,0.125,0.21739130434782608,0.41379310344827586
1126231,0.15384615384615385,0.09615384615384616,0.34328358208955223,0.5151515151515151
1126241,0.17142857142857143,0.11428571428571428,0.47761194029850745,0.5555555555555556
1126611,0.3333333333333333,0.21212121212121213,0.23655913978494625,0.4835164835164835
1126621,0.15625,0.09375,0.25,0.525
1126631,0.3793103448275862,0.2413793103448276,0.2553191489361702,0.43478260869565216
1126632,0.5,1.0,0.0,0.0
1126651,0.25925925925925924,0.1111111111111111,0.33962264150943394,0.5862068965517241
1126661,0.125,0.1,0.46601941747572817,0.5510204081632653
1126662,0.25,0.3055555555555556,0.3582089552238806,0.3380281690140845
1126663,0.16326530612244897,0.12244897959183673,0.4485981308411215,0.6363636363636364
1126664,0.3,0.125,0.3125,0.6067415730337079
1126671,0.13432835820895522,0.1044776119402985,0.5906040268456376,0.6258503401360545
1126701,0.18181818181818182,0.12121212121212122,0.5666666666666667,0.6666666666666666
1126711,0.19101123595505617,0.0898876404494382,0.2689075630252101,0.46511627906976744
1126712,0.10526315789473684,0.13157894736842105,0.38578680203045684,0.45918367346938777
1126713,0.14102564102564102,0.16666666666666666,0.5,0.47058823529411764
1126714,0.11764705882352941,0.1568627450980392,0.5,0.5523809523809524
1126721,1.0,1.0,0.0,0.0
1126722,0.13157894736842105,0.05263157894736842,0.47058823529411764,0.6835443037974683
1126751,0.14545454545454545,0.12727272727272726,0.39669421487603307,0.6071428571428571
1126752,0.19444444444444445,0.1388888888888889,0.4444444444444444,0.5797101449275363
1126753,0.20512820512820512,0.10256410256410256,0.46511627906976744,0.6
1126761,0.3793103448275862,0.3103448275862069,0.22727272727272727,0.358974358974359
1126771,0.36,0.2,0.2807017543859649,0.4897959183673469
1126801,0.0975609756097561,0.12195121951219512,0.45454545454545453,0.591304347826087
1126811,0.42857142857142855,0.14285714285714285,0.1651376146788991,0.4380952380952381
1126821,0.29411764705882354,0.14705882352941177,0.24539877300613497,0.4970414201183432
1126841,0.23076923076923078,0.10256410256410256,0.4074074074074074,0.47706422018348627
1126852,0.225,0.1,0.3488372093023256,0.611764705882353
1126951,0.21428571428571427,0.02857142857142857,0.28888888888888886,0.5445026178010471
1127221,0.24691358024691357,0.037037037037037035,0.2986425339366516,0.5794392523364486
1127231,0.16176470588235295,0.10294117647058823,0.271356783919598,0.5562130177514792
1127232,0.2857142857142857,0.14285714285714285,0.41509433962264153,0.6440677966101694
1127233,0.1875,0.125,0.3963963963963964,0.37735849056603776
1127234,0.23809523809523808,0.19047619047619047,0.37209302325581395,0.4470588235294118
1127261,0.10465116279069768,0.11627906976744186,0.4117647058823529,0.4730290456431535
1127271,0.26666666666666666,0.06666666666666667,0.3684210526315789,0.6271186440677966
1127273,0.6,0.4,1.0,0.6666666666666666
1127291,0.375,0.375,0.3225806451612903,0.4375
1127293,0.23809523809523808,0.23809523809523808,0.32558139534883723,0.5238095238095238
1127294,0.18181818181818182,0.2727272727272727,0.16666666666666666,0.4
1127301,0.2222222222222222,0.13333333333333333,0.32142857142857145,0.46296296296296297
1127303,0.46153846153846156,0.5384615384615384,0.2857142857142857,0.4
1127311,0.03571428571428571,0.10714285714285714,0.5063291139240507,0.5526315789473685
1127312,0.22727272727272727,0.13636363636363635,0.38461538461538464,0.6521739130434783
1127322,0.2391304347826087,0.06521739130434782,0.2857142857142857,0.4878048780487805
1127341,0.14285714285714285,0.14285714285714285,0.48854961832061067,0.5864661654135338
1127353,0.4074074074074074,0.14814814814814814,0.29850746268656714,0.6153846153846154
1127361,0.2777777777777778,0.2222222222222222,0.37209302325581395,0.3888888888888889
1127362,0.07692307692307693,0.0,0.5555555555555556,0.48484848484848486
1127381,0.2222222222222222,0.1111111111111111,0.5217391304347826,0.6341463414634146
1127391,0.3,0.125,0.26262626262626265,0.5684210526315789
